Año;Presupuesto total;Presupuesto total de salud;Porcentaje de salud sobre el presupuesto total;Gastos totales;Gastos totales en salud;Porcentaje de salud sobre el total de gastos;Indice promedio anual
2010;;;;;;;
2011;;;;;;;
2012;$ 588.586,68;$ 21.106,21;4%;$ 561.832,95;$ 19.602,29;3%;8,10
2013;$ 780.149,78;$ 30.685,47;4%;$ 750.934,91;$ 28.576,52;4%;10,01
2014;$ 1.164.759,43;$ 41.268,26;4%;$ 1.134.364,22;$ 39.353,14;3%;14
2015;$ 1.499.476,07;$ 59.530,20;4%;$ 1.431.662,13;$ 56.085,59;4%;17,8
2016;$ 2.215.682,94;$ 77.023,95;3%;$ 2.131.113,26;$ 74.310,75;3%;24,8
2017;$ 2.633.514,82;$ 98.219,72;4%;$ 2.564.004,56;$ 95.000,12;4%;31,1
2018;$ 3.379.235,02;$ 123.469,76;4%;$ 3.298.979,47;$ 118.727,52;4%;41,1
2019;$ 4.928.184,40;$ 176.804,55;4%;$ 4.762.089,42;$ 169.323,64;4%;61,9
2020;$ 7.762.600,66;$ 353.785,12;5%;$ 7.001.429,33;$ 335.214,64;5%;87,5
2021;$ 11.000.407,08;$ 615.486,71;6%;$ 10.763.163,93;$ 603.730,28;6%;126,2
2022;$ 18.126.071,29;$ 741.583,81;4%;$ 17.527.870,16;$ 693.034,44;4%;208
2023;$ 40.411.433,32;$ 1.460.436,95;4%;$ 38.025.489,07;$ 1.364.709,75;4%;467,7
2024;$ 96.086.046,40;$ 4.597.917,73;5%;$ 90.197.486,82;$ 4.406.161,26;5%;1555,70
2025;$ 128.528.614,30;$ 7.354.539,52;6%;$ 122.877.771,20;$ 6.879.564,31;6%;2206,30
2026;;;;;;;
;;;;;;;
Valores a 2025;;;;;;;
Año;Presupuesto total;Presupuesto en salud;Participacion del Presupuesto de Salud en el Presupuesto Total - (eje derecho);Gastos totales;Gastos en salud;Gasto en Salud sobre Gastos Totales - (eje derecho);Indice promedio anual
2010;;;;;;;
2011;;;;;;;
2012;$ 160.320.840;$ 5.748.966;4%;$ 153.033.585;$ 5.339.324;3%;8,10
2013;$ 171.952.495;$ 6.763.371;4%;$ 165.513.257;$ 6.298.538;4%;10,1
2014;$ 183.557.767;$ 6.503.583;4%;$ 178.767.698;$ 6.201.774;3%;14
2015;$ 185.859.216;$ 7.378.734;4%;$ 177.453.716;$ 6.951.778;4%;17,8
2016;$ 197.115.374;$ 6.852.336;3%;$ 189.591.741;$ 6.610.960;3%;24,8
2017;$ 186.827.130;$ 6.967.915;4%;$ 181.895.925;$ 6.739.510;4%;31,1
2018;$ 181.401.611;$ 6.628.013;4%;$ 177.093.392;$ 6.373.444;4%;41,1
2019;$ 175.655.141;$ 6.301.840;4%;$ 169.735.023;$ 6.035.198;4%;61,9
2020;$ 195.732.867;$ 8.920.641;5%;$ 176.540.040;$ 8.452.389;5%;87,5
2021;$ 192.315.358;$ 10.760.288;6%;$ 188.167.738;$ 10.554.755;6%;126,2
2022;$ 192.267.073;$ 7.866.136;4%;$ 185.921.827;$ 7.351.163;4%;208
2023;$ 190.634.478;$ 6.889.378;4%;$ 179.379.167;$ 6.437.800;4%;467,7
2024;$ 136.269.618;$ 6.520.785;5%;$ 127.918.439;$ 6.248.836;5%;1555,70
2025;$ 128.528.614;$ 7.354.540;6%;$ 122.877.771;$ 6.879.564;6%;2.206,30
2026;;;;;;;
