Año;Presupuesto total;Presupuesto total de salud;Porcentaje de salud sobre el presupuesto total;Gastos totales;Gastos totales en salud;Porcentaje de salud sobre el total de gastos;Indice promedio anual
2010;$ 679.876.365,48;$ 27.101.952,08;4%;$ 547.595.514,64;$ 26.121.126,10;5%;
2011;$ 846.999.723,31;$ 122.436.724,81;14%;$ 666.731.626,64;$ 120.803.951,17;18%;
2012;$ 995.732.367,19;$ 180.842.436,57;18%;$ 838.135.157,44;$ 179.534.422,25;21%;8,10
2013;$ 1.335.271.619,37;$ 217.474.969,18;16%;$ 1.129.740.984,91;$ 214.793.474,86;19%;10,01
2014;$ 1.553.924.886,50;$ 301.198.392,91;19%;$ 1.434.711.676,66;$ 301.618.687,92;21%;14
2015;$ 1.999.754.108,24;$ 421.636.859,68;21%;$ 1.889.415.916,42;$ 423.962.561,66;22%;17,8
2016;$ 2.955.422.351,14;$ 612.840.392,53;21%;$ 2.641.866.088,51;$ 616.222.474,98;23%;24,8
2017;$ 4.168.275.366,87;$ 825.847.870,84;20%;$ 3.607.854.692,30;$ 807.432.574,54;22%;31,1
2018;$ 5.397.812.105,13;$ 1.172.175.357,14;22%;$ 4.588.583.532,12;$ 1.155.635.990,13;25%;41,1
2019;$ 7.685.303.374,64;$ 1.830.468.529,48;24%;$ 7.150.736.449,56;$ 1.823.843.225,03;26%;61,9
2020;$ 10.074.378.671,58;$ 2.510.539.839,61;25%;$ 9.006.103.791,15;$ 2.483.152.991,41;28%;87,5
2021;$ 15.877.960.917,44;$ 3.964.578.726,09;25%;$ 14.235.729.606,92;$ 3.927.066.750,29;28%;126,2
2022;$ 27.784.766.328,75;$ 6.587.546.687,87;24%;$ 24.751.364.033,86;$ 6.462.657.496,15;26%;208
2023;$ 65.658.253.659,86;$ 16.198.527.450,21;25%;$ 62.494.793.509,39;$ 16.121.859.101,57;26%;467,7
2024;$ 177.869.214.928,60;$ 49.073.163.631,92;28%;$ 170.920.799.518,55;$ 48.945.331.892,14;29%;1555,70
2025;$ 228.032.836.297,23;$ 67.553.225.806,42;30%;$ 280.554.188.279,82;$ 77.747.007.654,78;28%;2206,30
2026;$ 330.961.123.616,40;$ 85.958.883.567,72;26%;$ 38.958.442.219,18;$ 7.107.308.570,81;18%;
;;;;;;;
Valores a 2025;;;;;;;
Año;Presupuesto total;Presupuesto en salud;Participacion del Presupuesto de Salud en el Presupuesto Total - (eje derecho);Gastos totales;Gastos en salud;Gasto en Salud sobre Gastos Totales - (eje derecho);Indice promedio anual
2010;;;;;;;
2011;;;;;;;
2012;$ 271.220;$ 49.258;18%;$ 228.294;$ 48.902;21%;8,10
2013;$ 294.307;$ 47.934;16%;$ 249.006;$ 47.343;19%;10,1
2014;$ 244.887;$ 47.467;19%;$ 226.100;$ 47.533;21%;14
2015;$ 247.868;$ 52.262;21%;$ 234.192;$ 52.550;22%;17,8
2016;$ 262.925;$ 54.521;21%;$ 235.030;$ 54.821;23%;24,8
2017;$ 295.706;$ 58.587;20%;$ 255.949;$ 57.281;22%;31,1
2018;$ 289.761;$ 62.924;22%;$ 246.321;$ 62.036;25%;41,1
2019;$ 273.927;$ 65.243;24%;$ 254.874;$ 65.007;26%;61,9
2020;$ 254.024;$ 63.303;25%;$ 227.088;$ 62.612;28%;87,5
2021;$ 277.588;$ 69.311;25%;$ 248.877;$ 68.655;28%;126,2
2022;$ 294.719;$ 69.876;24%;$ 262.543;$ 68.551;26%;208
2023;$ 309.732;$ 76.414;25%;$ 294.809;$ 76.052;26%;467,7
2024;$ 252.255;$ 69.596;28%;$ 242.401;$ 69.414;28,64%;1555,70
2025;$ 228.033;$ 67.553;30%;$ 280.554;$ 77.747;27,71%;2.206,30
2026;;;;;;;
